model,precision,recall,tpr,fpr
GaussianNB,0.9845373429323566,0.9914409151427873,0.9914409151427873,0.06283709231960635
DecisionTree,0.9994957546617227,0.9997520582561205,0.9997520582561205,0.002035403688398199
RandomForest,0.9999643279383587,0.999706206015814,0.999706206015814,0.00014391743251300398
